ID-060313	6.30E+03	1.30E+02	1.00E+00	3.80E-01
ID-060313	6.50E+03	2.90E+02	9.60E-01	3.00E-01
ID-060313	1.00E+04	3.00E+02	3.80E-01	1.40E-01
ID-060313	1.00E+04	3.10E+02	4.30E-01	1.60E-01
ID-060313	1.10E+04	2.30E+02	6.60E-01	2.50E-01
ID-060313	1.10E+04	2.40E+02	4.70E-01	1.70E-01
ID-060313	1.10E+04	2.70E+02	4.40E-01	1.60E-01
ID-060313	1.10E+04	3.80E+02	3.50E-01	1.30E-01
ID-060313	1.20E+04	3.40E+02	3.60E-01	1.30E-01
ID-060313	1.20E+04	4.60E+02	3.70E-01	1.20E-01
ID-060313	1.60E+04	6.00E+02	1.90E-01	6.90E-02
ID-060313	1.60E+04	4.10E+02	2.90E-01	1.10E-01
ID-060313	1.70E+04	4.10E+02	2.70E-01	1.00E-01
ID-060313	1.80E+04	1.10E+03	2.50E-01	7.80E-02
ID-060313	2.20E+04	9.30E+02	1.10E-01	4.30E-02
ID-060313	2.30E+04	5.50E+02	2.00E-01	7.50E-02
ID-060313	2.30E+04	1.10E+03	1.30E-01	4.70E-02
ID-060313	2.80E+04	7.80E+02	1.50E-01	5.70E-02
ID-060313	2.90E+04	1.80E+03	8.90E-02	3.10E-02
ID-060313	3.40E+04	2.50E+03	6.10E-02	2.20E-02
ID-060313	4.20E+04	6.30E+03	5.80E-02	2.40E-02
ID-060313	5.20E+04	1.20E+04	3.60E-02	1.40E-02
ID-060313	8.70E+04	5.90E+04	1.30E-02	5.40E-03
ID-060313	2.70E+05	3.10E+05	3.60E-03	1.20E-03
ID-060502B	3.80E+04	6.60E+04	1.00E-03	0.00E+00
ID-060801	9.18E+02	9.50E+02	2.00E-01	7.70E-02
ID-061006	3.60E+03	6.70E+02	1.20E-01	6.70E-02
ID-061006	4.40E+03	9.70E+01	1.10E-01	6.00E-02
ID-061006	9.40E+03	4.90E+03	4.60E-02	2.60E-02
ID-061006	1.40E+04	4.70E+03	5.40E-02	3.00E-02
ID-061006	6.60E+04	2.40E+05	6.00E-03	3.30E-03
ID-061201	5.70E+03	2.40E+02	5.50E-01	3.10E-01
