GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
101219A,440606,ESO/La Silla,GROND,r',6097.98,4896,23.6,3-sigma,GCN 11471,0.06,0.14000369384359404,"1.4997805822046145e-06 (+0.0, -inf)"
101219A,440606,ESO/La Silla,GROND,i',7604.74,4896,23.1,3-sigma,GCN 11471,0.06,0.09913598910081743,"2.2891836982846547e-06 (+0.0, -inf)"
101219A,440606,ESO/La Silla,GROND,z',8929.33,4896,23.2,3-sigma,GCN 11471,0.06,0.07568879432624112,"2.043157125750302e-06 (+0.0, -inf)"
101219A,440606,ESO/La Silla,GROND,J,12246.51,4896,22.2,3-sigma,GCN 11471,0.06,0.04426990478641276,"4.985792624715444e-06 (+0.0, -inf)"
101219A,440606,ESO/La Silla,GROND,H,16330.2,4896,21.8,3-sigma,GCN 11471,0.06,0.02767377640778889,"7.0973424309671835e-06 (+0.0, -inf)"
101219A,440606,ESO/La Silla,GROND,K,21550.42,4896,20.2,3-sigma,GCN 11471,0.06,0.01869691401879721,"3.0725928423255635e-05 (+0.0, -inf)"
101219A,440606,Gemini South,GMOS,i',7719.34,15120.0,24.5,UL,GCN 11468,0.06,0.0967608,"6.291157658899524e-07 (+0.0, -inf)"
101219A,440606,Ishigakijima,MITSuME,g',4712.55,29074.464,19.1,3-sigma,GCN 11479,0.06,0.19843331168831166,"9.986184223531294e-05 (+0.0, -inf)"
101219A,440606,Ishigakijima,MITSuME,Rc,6479.38,29074.464,19.1,3-sigma,GCN 11479,0.06,0.12846532467532468,"9.362942984924009e-05 (+0.0, -inf)"
101219A,440606,Ishigakijima,MITSuME,Ic,7845.53,29074.464,18.7,3-sigma,GCN 11479,0.06,0.09428277777777777,"0.00013114126241250629 (+0.0, -inf)"
101219A,440606,Ishigakijima,MITSuME,g',4712.55,40078.368,20.9,3-sigma,GCN 11479,0.06,0.19843331168831166,"1.9028281760283238e-05 (+0.0, -inf)"
101219A,440606,Ishigakijima,MITSuME,Rc,6479.38,40078.368,20.7,3-sigma,GCN 11479,0.06,0.12846532467532468,"2.144926321887141e-05 (+0.0, -inf)"
101219A,440606,Ishigakijima,MITSuME,Ic,7845.53,40078.368,20.0,3-sigma,GCN 11479,0.06,0.09428277777777777,"3.96040281038341e-05 (+0.0, -inf)"
100816A,431764,Swift,UVOT,White,3885.68,166.0,17.81,0.05,GCN 11115,0.09,0.35858246377922576,0.0003797162947704186 ± 1.7486581598105977e-05
100816A,431764,Swift,UVOT,U,3520.95,430.0,19.04,0.08,GCN 11115,0.09,0.3866030859375,0.00012550686548935534 ± 9.24768760141435e-06
100816A,431764,Swift,UVOT,White,3885.68,596.0,19.7,0.19,GCN 11115,0.09,0.35858246377922576,6.65977005629437e-05 ± 1.1654362313337566e-05
100816A,431764,Kislovodsk,MASTER,Polarization,,1350.0,17.2,UL,GCN 11105,0.09,,"nan"
100816A,431764,Calern,TAROT,R,6414.2,1470.0,19.2,0,GCN 11106,0.09,0.1953995575221239,9.082095659809005e-05 ± 0.0
100816A,431764,ROTSE,ROTSE-IIIc,unfiltered,,1534.4,18.5,UL,GCN 11103,0.09,,"nan"
100816A,431764,CAHA,1.23m,I,8675.64,1980.0,19.9,0,GCN 11112,0.09,0.11876685791925466,4.44153401117848e-05 ± 0.0
100816A,431764,Swift,UVOT,U,3520.95,4706.0,21.41,0.35,GCN 11115,0.09,0.3866030859375,1.4147101951216317e-05 ± 4.560486848671274e-06
100816A,431764,Swift,UVOT,V,5411.43,4808.5,21.55,0.94,GCN 11115,0.09,0.2475451490066225,1.0940679819094019e-05 ± 9.472134193258673e-06
100816A,431764,Swift,UVOT,UVW1,2684.14,5218.5,22.49,0.44,GCN 11115,0.09,0.5164673164992827,5.896756243000339e-06 ± 2.389689811898779e-06
100816A,431764,Swift,UVOT,B,4346.25,5602.0,20.94,0.35,GCN 11115,0.09,0.3250845,2.0609148515923587e-05 ± 6.643604541289242e-06
100816A,431764,TNG,DOLoRes,R,6442.67,10080.0,20.5,0,GCN 11104,0.09,0.1944858116883117,2.7404417393604706e-05 ± 0.0
100816A,431764,Swift,UVOT,UVW2,2085.73,16229.0,23.92,3-sigma,GCN 11115,0.09,0.7758243809196981,"2.0061158133070357e-06 (+0.0, -inf)"
100816A,431764,Swift,UVOT,UVM2,2245.78,19356.0,23.11,3-sigma,GCN 11115,0.09,0.69960015648593,"3.9433589531419634e-06 (+0.0, -inf)"
100816A,431764,McDonald,CQUEAN,r,6150.14,28905.12,21.4,0.1,GCN 11108,0.09,0.20662078202995007,1.209691312466422e-05 ± 1.1141668732838342e-06
100816A,431764,McDonald,CQUEAN,i,7594.54,29236.896,21.31,0.1,GCN 11108,0.09,0.1490291607629428,1.2463439595843758e-05 ± 1.147925208832863e-06
100816A,431764,Gemini North,GMOS,R,6224.52,39600.0,22.4,0,GCN 11109,0.09,0.20336378988326845,4.8014428599551305e-06 ± 0.0
100816A,431764,Okayama,MITSuME,g',4712.55,58274.208,21.0,3-sigma,GCN 11126,0.09,0.2976499675324675,"1.9014558060722363e-05 (+0.0, -inf)"
100816A,431764,Okayama,MITSuME,Rc,6479.38,58274.208,20.5,3-sigma,GCN 11126,0.09,0.19269798701298702,"2.7359329113980348e-05 (+0.0, -inf)"
100816A,431764,Okayama,MITSuME,Ic,7845.53,58274.208,19.9,3-sigma,GCN 11126,0.09,0.14142416666666666,"4.535194482054152e-05 (+0.0, -inf)"
100816A,431764,Lulin,LOT,r',6202.58,63000.0,21.76,0.1,GCN 11117,0.09,0.20428578210116732,8.664441259143225e-06 ± 7.980245312970301e-07
100702A,426438,Swift,UVOT,White,3885.68,176.0,18.79,0.07,GCN 10922,0.41,1.6335423349942506,0.0004982452681798059 ± 3.2123059560637974e-05
100702A,426438,Swift,UVOT,U,3520.95,439.0,19.87,0.17,GCN 10922,0.41,1.7611918359375,0.00020725402963813185 ± 3.2450962659324186e-05
100702A,,ESO/MPG,GROND,J,12400.0,576.0,,,Fong+2015,,,"2.729e-05 (+0.0, -inf)"
100702A,426438,ROTSE,ROTSE-IIIc,unfiltered,,981.2,16.2,UL,GCN 10917,0.41,,"nan"
100702A,426438,Swift,UVOT,B,4346.25,3438.0,17.66,0.08,GCN 10922,0.41,1.4809405,0.001225751543835287 ± 9.031671144158623e-05
100702A,426438,Swift,UVOT,UVM2,2245.78,4710.0,21.09,3-sigma,GCN 10922,0.41,3.187067379547014,"0.000250526228663159 (+0.0, -inf)"
100702A,426438,Swift,UVOT,UVW1,2684.14,4915.0,21.11,3-sigma,GCN 10922,0.41,2.352795552941177,"0.00011406291600792196 (+0.0, -inf)"
100702A,426438,Swift,UVOT,U,3520.95,5085.5,19.98,0.26,GCN 10922,0.41,1.7611918359375,0.0001872849948093243 ± 4.484892226769941e-05
100702A,426438,Swift,UVOT,White,3885.68,5639.0,18.64,0.05,GCN 10922,0.41,1.6335423349942506,0.0005720621090543279 ± 2.6344433691504595e-05
100702A,,ESO/MPG,GROND,r,6220.0,6120.0,,,Fong+2015,,,"1.96e-06 (+0.0, -inf)"
100702A,426438,Swift,UVOT,UVW2,2085.73,10328.5,22.58,3-sigma,GCN 10922,0.41,3.53431106863418,"8.744816009305576e-05 (+0.0, -inf)"
100702A,426438,Swift,UVOT,V,5411.43,10709.5,16.71,0.04,GCN 10922,0.41,1.127705678807947,0.0021237750793916986 ± 7.824276541887314e-05
100628A,426114,Swift,UVOT,White,3885.68,164.5,21.0,3-sigma,GCN 10901,0.17,0.677322431582982,"2.697461293121369e-05 (+0.0, -inf)"
100628A,426114,Mt. John,MOA-II,Red,7500.0,330.0,22.7,3-sigma,GCN 10904,0.17,0.28720421319796957,"3.934666558707224e-06 (+0.0, -inf)"
100628A,426114,Swift,UVOT,U,3520.95,426.5,20.42,3-sigma,GCN 10901,0.17,0.7302502734375,"4.831993687892433e-05 (+0.0, -inf)"
100628A,426114,Swift,UVOT,U,3520.95,3615.0,21.22,3-sigma,GCN 10901,0.17,0.7302502734375,"2.31273758493835e-05 (+0.0, -inf)"
100628A,426114,Swift,UVOT,UVW1,2684.14,3701.0,21.11,3-sigma,GCN 10901,0.17,0.9755493756097563,"3.2080859788950286e-05 (+0.0, -inf)"
100628A,426114,Swift,UVOT,B,4346.25,3845.0,19.97,3-sigma,GCN 10901,0.17,0.6140485,"6.571214577028123e-05 (+0.0, -inf)"
100628A,,Gemini-N,GMOS,i,7800.0,3960,,,Fong+2015,,,"8.5e-07 (+0.0, -inf)"
100628A,426114,Swift,UVOT,UVM2,2245.78,5699.5,20.99,3-sigma,GCN 10901,0.17,1.3214669622512012,"4.9273457067573027e-05 (+0.0, -inf)"
100628A,426114,Swift,UVOT,White,3885.68,5749.5,22.2,3-sigma,GCN 10901,0.17,0.677322431582982,"8.93213383147162e-06 (+0.0, -inf)"
100628A,426114,Swift,UVOT,UVW2,2085.73,6461.0,22.03,3-sigma,GCN 10901,0.17,1.4654460528483189,"2.15876152946656e-05 (+0.0, -inf)"
100628A,426114,Swift,UVOT,V,5411.43,6799.5,19.49,3-sigma,GCN 10901,0.17,0.46758528145695366,"8.934296506400901e-05 (+0.0, -inf)"
100628A,426114,ESO/La Silla,GROND,g',4504.49,61560.0,22.8,0.2,GCN 10910,0.17,0.5914525764558023,4.749055877109971e-06 ± 8.748084214743345e-07
100628A,426114,ESO/La Silla,GROND,r',6097.98,61560.0,21.5,0.1,GCN 10910,0.17,0.39667713255684983,1.3143078503278239e-05 ± 1.210522265507959e-06
100628A,426114,ESO/La Silla,GROND,i',7604.74,61560.0,20.6,0.1,GCN 10910,0.17,0.2808853024523161,2.7063276202928586e-05 ± 2.4926198540977547e-06
100628A,426114,ESO/La Silla,GROND,z',8929.33,61560.0,20.0,0.1,GCN 10910,0.17,0.21445158392434985,4.4239161055522835e-05 ± 4.074577310920385e-06
100628A,426114,ESO/La Silla,GROND,J,12246.51,61560.0,19.4,0.1,GCN 10910,0.17,0.12543139689483615,7.082699360319029e-05 ± 6.523407186091624e-06
100628A,426114,ESO/La Silla,GROND,H,16330.2,61560.0,19.0,0.1,GCN 10910,0.17,0.07840903315540186,9.80369659367775e-05 ± 9.029538253135557e-06
100628A,426114,ESO/La Silla,GROND,K,21550.42,61560.0,18.6,0.1,GCN 10910,0.17,0.05297458971992543,0.00013842549487475987 ± 1.2749459239557831e-05
100628A,426114,ESO/La Silla,GROND,J,12246.51,61920.0,17.2,5-sigma,GCN 10911,0.17,0.12543139689483615,"0.0005372776905411559 (+0.0, -inf)"
100628A,426114,Magellan/Baade,PANIC,J,12422.5,62640.0,21.51,5-sigma,GCN 10902,0.17,0.12171423337856173,"1.0109087188873332e-05 (+0.0, -inf)"
100628A,,Magellan,PANIC,J,12150.0,64080.0,,,Fong+2015,,,"5.43e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,White,3885.68,146.5,22.0,3-sigma,GCN 10892,0.012,0.04781099517056343,"6.013823072942058e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,U,3520.95,394.0,21.22,3-sigma,GCN 10892,0.012,0.051547078125,"1.2377846144881815e-05 (+0.0, -inf)"
100625A,425647,Mt. John,MOA-II,Red,7500.0,960.0,22.77,3-sigma,GCN 10885,0.012,0.020273238578680203,"2.8849317567206104e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,V,5411.43,3274.5,20.29,3-sigma,GCN 10892,0.012,0.03300601986754967,"2.8656863620347278e-05 (+0.0, -inf)"
100625A,425647,Swift,UVOT,U,3520.95,3395.5,21.52,3-sigma,GCN 10892,0.012,0.051547078125,"9.389556512668757e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,UVM2,2245.78,5338.5,22.19,3-sigma,GCN 10892,0.012,0.09328002086479066,"5.264271230099393e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,UVW1,2684.14,5543.5,22.11,3-sigma,GCN 10892,0.012,0.06886230886657103,"5.540783392138316e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,B,4346.25,5582.0,21.77,3-sigma,GCN 10892,0.012,0.0433446,"7.402255799413967e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,White,3885.68,5819.5,23.4,3-sigma,GCN 10892,0.012,0.04781099517056343,"1.6563444124294335e-06 (+0.0, -inf)"
100625A,425647,Swift,UVOT,UVW2,2085.73,8206.5,23.23,3-sigma,GCN 10892,0.012,0.10344325078929309,"2.0389357900075522e-06 (+0.0, -inf)"
100625A,425647,SAAO,IRSF/SIRIUS,J,12207.54,30879.0,19.37,3-sigma,GCN 10889,0.012,0.00891615645908389,"6.54022533289388e-05 (+0.0, -inf)"
100625A,425647,SAAO,IRSF/SIRIUS,H,16303.58,30879.0,18.88,3-sigma,GCN 10889,0.012,0.005549885512367492,"0.00010238732652554798 (+0.0, -inf)"
100625A,425647,SAAO,IRSF/SIRIUS,K,21885.57,30879.0,18.02,3-sigma,GCN 10889,0.012,0.0036280301584012964,"0.0002256718873216629 (+0.0, -inf)"
100625A,,ESO/MPG,GROND,g,4770.0,43920.0,,,Fong+2015,,,"1.32e-06 (+0.0, -inf)"
100625A,,Magellan,PANIC,J,12150.0,122040.0,,,Fong+2015,,,"1e-06 (+0.0, -inf)"
100213A,412217,Swift,UVOT,V,5411.43,63.5,17.18,3-sigma,GCN 10420,0.31,0.8526555132450331,"0.001069272639383728 (+0.0, -inf)"
100213A,412217,Swift,UVOT,White,3885.68,152.0,21.0,3-sigma,GCN 10420,0.31,1.2351173752395554,"4.508926947241219e-05 (+0.0, -inf)"
100213A,412217,Swift,UVOT,U,3520.95,327.5,20.72,3-sigma,GCN 10420,0.31,1.3316328515625,"6.377924729849777e-05 (+0.0, -inf)"
100213A,412217,GGAO,GRT,R,6414.2,4320.0,17.5,3-sigma,GCN 10425,0.31,0.6730429203539824,"0.0006749061988579727 (+0.0, -inf)"
100213A,412217,KPNO,SARA,R,6414.2,15660.0,20.0,UL,GCN 10415,0.31,0.6730429203539824,"6.749061988579728e-05 (+0.0, -inf)"
100213A,412217,Konkoly,Schmidt,R,6414.2,161866.0,21.3,UL,GCN 10446,0.31,0.6730429203539824,"2.0381841363511224e-05 (+0.0, -inf)"
100206A,411412,Swift,UVOT,White,3885.68,153.0,21.3,3-sigma,GCN 10394,0.38,1.514014847067842,"4.422136945323058e-05 (+0.0, -inf)"
100206A,411412,Okayama,MITSuME,g',4712.55,364.608,19.0,3-sigma,GCN 10388,0.38,1.2567443073593072,"0.0002902177507146717 (+0.0, -inf)"
100206A,411412,Okayama,MITSuME,Rc,6479.38,364.608,19.0,3-sigma,GCN 10388,0.38,0.813613722943723,"0.00019296197612260306 (+0.0, -inf)"
100206A,411412,Okayama,MITSuME,Ic,7845.53,364.608,17.9,3-sigma,GCN 10388,0.38,0.5971242592592593,"0.00043538749634274454 (+0.0, -inf)"
100206A,411412,Swift,UVOT,U,3520.95,415.0,21.12,3-sigma,GCN 10394,0.38,1.6323241406250002,"5.820441186005359e-05 (+0.0, -inf)"
100206A,411412,Miyazaki,30-cm,unfiltered,,1800.0,17.4,UL,GCN 10385,0.38,,"nan"
100206A,411412,Okayama,MITSuME,g',4712.55,1871.424,19.8,3-sigma,GCN 10388,0.38,1.2567443073593072,"0.00013890694881823194 (+0.0, -inf)"
100206A,411412,Okayama,MITSuME,Rc,6479.38,1871.424,19.8,3-sigma,GCN 10388,0.38,0.813613722943723,"9.235740844632019e-05 (+0.0, -inf)"
100206A,411412,Okayama,MITSuME,Ic,7845.53,1871.424,18.7,3-sigma,GCN 10388,0.38,0.5971242592592593,"0.00020838955757065004 (+0.0, -inf)"
100206A,411412,Swift,UVOT,White,3885.68,3562.0,22.2,3-sigma,GCN 10394,0.38,1.514014847067842,"1.9303327889676824e-05 (+0.0, -inf)"
100206A,411412,Swift,UVOT,V,5411.43,4038.0,20.09,3-sigma,GCN 10394,0.38,1.0451906291390727,"8.751903100159151e-05 (+0.0, -inf)"
100206A,411412,Swift,UVOT,UVW1,2684.14,4267.0,22.21,3-sigma,GCN 10394,0.38,2.1806397807747495,"3.53412707534273e-05 (+0.0, -inf)"
100206A,411412,Swift,UVOT,U,3520.95,6523.0,21.52,3-sigma,GCN 10394,0.38,1.6323241406250002,"4.0267614768906605e-05 (+0.0, -inf)"
100206A,411412,Swift,UVOT,B,4346.25,7100.0,21.07,3-sigma,GCN 10394,0.38,1.372579,"4.7979735436894187e-05 (+0.0, -inf)"
100206A,411412,IUCAA,2-m,R,6414.2,8160.0,22.0,UL,GCN 10380,0.38,0.825020353982301,"1.230366196044119e-05 (+0.0, -inf)"
100206A,411412,Mt. Terskol,Z-600,R,6414.2,8933.76,20.5,UL,GCN 10455,0.38,0.825020353982301,"4.898176050517943e-05 (+0.0, -inf)"
100206A,411412,Mt. Terskol,Z-600,R,6414.2,10670.4,20.8,UL,GCN 10455,0.38,0.825020353982301,"3.715646510467925e-05 (+0.0, -inf)"
100206A,411412,CrAO,AZT-11,R,6414.2,11361.6,21.7,UL,GCN 10456,0.38,0.825020353982301,"1.621938528827177e-05 (+0.0, -inf)"
100206A,411412,Mt. Terskol,Z-600,R,6414.2,14091.84,21.4,UL,GCN 10455,0.38,0.825020353982301,"2.1381313951506964e-05 (+0.0, -inf)"
100206A,411412,NOT,NOTcam,Ks,21295.05,24840.0,19.7,UL,GCN 10387,0.38,0.12110057766560564,"5.351388487158768e-05 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,g',4504.49,39600.0,23.2,UL,GCN 10396,0.38,1.3220704650188522,"6.439533916287522e-06 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,r',6097.98,39600.0,23.4,UL,GCN 10396,0.38,0.8866900610094289,"3.5867596325618223e-06 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,i',7604.74,39600.0,22.4,UL,GCN 10396,0.38,0.6278612643051771,"7.098568125294887e-06 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,z',8929.33,39600.0,22.2,UL,GCN 10396,0.38,0.47936236406619376,"7.443397196395072e-06 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,J,12246.51,39600.0,21.2,UL,GCN 10396,0.38,0.2803760636472808,"1.5565987392892195e-05 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,H,16330.2,39600.0,20.7,UL,GCN 10396,0.38,0.175267250582663,"2.239407607126148e-05 (+0.0, -inf)"
100206A,411412,ESO/La Silla,GROND,K,21550.42,39600.0,20.0,UL,GCN 10396,0.38,0.11841378878571565,"4.049410125059911e-05 (+0.0, -inf)"
100206A,,ESO/MPG,GROND,i,7630.0,42120.0,,,Fong+2015,,,"1.80e-06 (+0.0, -inf)"
100206A,,ESO/MPG,GROND,J,12400.0,42120.0,,,Fong+2015,,,"9.7e-06 (+0.0, -inf)"
100206A,411412,Mt. Hopkins,PAIRITEL,J,12207.54,47160.0,18.35,0.07,GCN 10390,0.38,0.2823449545376565,0.0002152604435063084 ± 1.3878353673209554e-05
100206A,411412,Mt. Hopkins,PAIRITEL,H,16303.58,47160.0,17.55,0.08,GCN 10390,0.38,0.1757463745583039,0.000407685061989716 ± 3.0039345483963955e-05
100206A,411412,Mt. Hopkins,PAIRITEL,Ks,21885.57,47160.0,16.56,0.08,GCN 10390,0.38,0.11488762168270772,0.0009593593168729236 ± 7.068820677940944e-05
100206A,411412,Gemini North,GMOS,i,7713.83,56520.0,24.7,UL,GCN 10410,0.38,0.6135638366492147,"8.422708752905201e-07 (+0.0, -inf)"
100206A,,Gemini-N,GMOS,i,7800.0,56520.0,,,Fong+2015,,,"1.8e-07 (+0.0, -inf)"
100206A,411412,Sierra Nevada,OSN,I,8587.21,,21.0,UL,GCN 10384,0.38,0.5114325926996748,"2.3152574268128986e-05 (+0.0, -inf)"
100117A,382941,Swift,UVOT,White,3885.68,163.5,21.2,3-sigma,GCN 10344,0.02,0.07968499195093906,"1.2938986081472405e-05 (+0.0, -inf)"
100117A,382941,NOT,StanCAM,R,6435.17,1221.0,22.5,0.5,GCN 10337,0.02,0.04330023809523809,3.7787341989070407e-06 ± 1.7401714073580298e-06
100117A,382941,Swift,UVOT,U,3520.95,3352.0,20.92,3-sigma,GCN 10344,0.02,0.085911796875,"1.6841895474077736e-05 (+0.0, -inf)"
100117A,382941,Swift,UVOT,B,4346.25,3582.0,19.77,3-sigma,GCN 10344,0.02,0.072241,"4.796480121392929e-05 (+0.0, -inf)"
100117A,382941,Swift,UVOT,White,3885.68,6023.0,22.2,3-sigma,GCN 10344,0.02,0.07968499195093906,"5.151103138726058e-06 (+0.0, -inf)"
100117A,382941,Swift,UVOT,UVW2,2085.73,9070.5,22.63,3-sigma,GCN 10344,0.02,0.17240541798215514,"3.775621201135999e-06 (+0.0, -inf)"
100117A,382941,Swift,UVOT,V,5411.43,11668.0,19.79,3-sigma,GCN 10344,0.02,0.055010033112582776,"4.634792143960346e-05 (+0.0, -inf)"
100117A,382941,Swift,UVOT,UVM2,2245.78,12222.5,22.49,3-sigma,GCN 10344,0.02,0.15546670144131777,"4.228758945379006e-06 (+0.0, -inf)"
100117A,382941,Swift,UVOT,UVW1,2684.14,12470.0,21.61,3-sigma,GCN 10344,0.02,0.11477051477761839,"9.160822214948252e-06 (+0.0, -inf)"
100117A,382941,Magellan/Baade,IMACS,R,6438.55,14040.0,24.7,3-sigma,GCN 10340,0.02,0.043263658008658015,"4.981173994847959e-07 (+0.0, -inf)"
100117A,,Magellan,IMACS,R,6800.0,14040.0,,,Fong+2015,,,"9.7e-07 (+0.0, -inf)"
100117A,,ESO/MPG,GROND,r,6220.0,15480.0,,,Fong+2015,,,"6.9e-07 (+0.0, -inf)"
100117A,,Gemini-N,GMOS,r,6300.0,29880,,,Fong+2015,,,2.4e-07 ± 5.0e-08
091117,,ESO/MPG,GROND,J,12400.0,113400.0,,,Fong+2015,,,"7.59e-06 (+0.0, -inf)"
091117,,Magellan,IMACS,r,6650.0,114120.0,,,Fong+2015,,,"9.8e-07 (+0.0, -inf)"
091109B,375409,ROTSE,ROTSE-IIIc,unfiltered,,21.5,16.9,UL,GCN 10149,0.17,,"nan"
091109B,375409,Boyden,Watcher,clear,,153.0,17.7,UL,GCN 10150,0.17,,"nan"
091109B,375409,Swift,UVOT,White,3885.68,159.0,22.05,3-sigma,GCN 10157,0.17,0.677322431582982,"1.0255461806298937e-05 (+0.0, -inf)"
091109B,375409,Swift,UVOT,U,3520.95,421.0,21.31,3-sigma,GCN 10157,0.17,0.7302502734375,"2.1287583196339787e-05 (+0.0, -inf)"
091109B,375409,Swift,UVOT,UVW2,2085.73,3826.5,22.25,3-sigma,GCN 10157,0.17,1.4654460528483189,"1.7628066089295083e-05 (+0.0, -inf)"
091109B,375409,Swift,UVOT,V,5411.43,5950.5,20.95,3-sigma,GCN 10157,0.17,0.46758528145695366,"2.328414855689941e-05 (+0.0, -inf)"
091109B,375409,Swift,UVOT,UVM2,2245.78,6415.5,22.56,3-sigma,GCN 10157,0.17,1.3214669622512012,"1.1604141978206834e-05 (+0.0, -inf)"
091109B,375409,Swift,UVOT,B,4346.25,9221.5,21.65,3-sigma,GCN 10157,0.17,0.6140485,"1.3984458320904329e-05 (+0.0, -inf)"
091109B,375409,Swift,UVOT,White,3885.68,9603.0,22.89,3-sigma,GCN 10157,0.17,0.677322431582982,"4.731024766478431e-06 (+0.0, -inf)"
091109B,375409,Swift,UVOT,UVW1,2684.14,11693.5,22.95,3-sigma,GCN 10157,0.17,0.9755493756097563,"5.891772908998925e-06 (+0.0, -inf)"
091109B,375409,Swift,UVOT,U,3520.95,11936.0,22.63,3-sigma,GCN 10157,0.17,0.7302502734375,"6.311409486761906e-06 (+0.0, -inf)"
091109B,375409,VLT,FORS2,R,6425.7,20520.0,25.0,0,GCN 10154,0.17,0.36878528761061946,5.099649922561645e-07 ± 0.0
091109B,,VLT,FORS2,R,6550.0,21600.0,,,Fong+2015,,,6.7e-07 ± 9e-08
091109B,375409,Magellan/Baade,IMACS,R,6438.55,22320.0,23.0,3-sigma,GCN 10153,0.17,0.36774109307359315,"3.2145685108247505e-06 (+0.0, -inf)"
091109B,,VLT,HAWK-I,K,21460.0,25920.0,,,Fong+2015,,,"8.5e-07 (+0.0, -inf)"
091109B,,VLT,HAWK-I,J,12580.0,29880,,,Fong+2015,,,"2.5e-06 (+0.0, -inf)"
091109B,375409,VLT,FORS2,R,6425.7,36792.0,26.0,0.3,GCN 10156,0.17,0.36878528761061946,2.0302072014843762e-07 ± 5.609669805392501e-08
091109B,,VLT,FORS2,R,6550.0,37440.0,,,Fong+2015,,,5.1e-07 ± 1.1e-07
091109B,,VLT,FORS2,R,6550.0,114120.0,,,Fong+2015,,,"1.70e-07 (+0.0, -inf)"
090916,,PROMPT,--,R,,9720.0,,,Fong+2015,,,"7.14e-05 (+0.0, -inf)"
090621B,355359,Pulkovo,MTM-500,R,6414.2,1855.008,18.5,3-sigma,GCN 9656,0.44,0.9552867256637169,"0.00034845037735674263 (+0.0, -inf)"
090621B,355359,TUBITAK,TFOSC,Rc,6357.96,2700.0,23.6,UL,GCN 9549,0.44,0.9629570272189351,"3.2004353580489187e-06 (+0.0, -inf)"
090621B,,RTT150,TFOSC,R_c,6414.2,2700.0,,,Fong+2015,,,"1.91e-06 (+0.0, -inf)"
090621B,355359,Swift,UVOT,UVW2,2085.73,3591.5,22.23,3-sigma,GCN 9552,0.44,3.792919195607413,"0.00015317712966173922 (+0.0, -inf)"
090621B,355359,Swift,UVOT,V,5411.43,5696.0,20.66,3-sigma,GCN 9552,0.44,1.2102207284768212,"6.027185253722126e-05 (+0.0, -inf)"
090621B,355359,Swift,UVOT,White,3885.68,9124.5,23.09,3-sigma,GCN 9552,0.44,1.7530698229206594,"1.0598738525200153e-05 (+0.0, -inf)"
090621B,355359,Swift,UVOT,B,4346.25,12248.0,21.75,3-sigma,GCN 9552,0.44,1.589302,"3.1314613003457055e-05 (+0.0, -inf)"
090621B,355359,GGAO,GRT,R,6414.2,13320.0,17.8,3-sigma,GCN 9565,0.44,0.9552867256637169,"0.0006639585062127423 (+0.0, -inf)"
090621B,355359,Swift,UVOT,UVM2,2245.78,14376.5,23.01,3-sigma,GCN 9552,0.44,3.420267431708991,"5.2982594522733536e-05 (+0.0, -inf)"
090621B,355359,Swift,UVOT,UVW1,2684.14,14842.5,23.14,3-sigma,GCN 9552,0.44,2.5249513251076046,"2.0606620781465545e-05 (+0.0, -inf)"
090621B,355359,Swift,UVOT,U,3520.95,15010.0,22.79,3-sigma,GCN 9552,0.44,1.89005953125,"1.5850758946801918e-05 (+0.0, -inf)"
090621B,355359,Calar Alto,1.23m,I,8675.64,17802,20.6,0,GCN 9561,0.44,0.5806379720496895,3.566822008587142e-05 ± 0.0
090621B,355359,Palomar,P60,I,7978.8,27000.0,22.9,UL,GCN 9557,0.44,0.6764106728538283,"4.68371561788608e-06 (+0.0, -inf)"
090621A,355303,Skynet/Dolomiti,-,R,6414.2,2118.0,19.9,3-sigma,GCN 10001,0.02,0.043422123893805314,"4.1437648150661834e-05 (+0.0, -inf)"
090621A,355303,GGAO,GRT,R,6414.2,2238.0,17.9,3-sigma,GCN 9564,0.02,0.043422123893805314,"0.0002614538843864617 (+0.0, -inf)"
090621A,355303,Swift,UVOT,UVW2,2085.73,3236.0,21.63,3-sigma,GCN 9544,0.02,0.17240541798215514,"9.483931665653427e-06 (+0.0, -inf)"
090621A,355303,Swift,UVOT,V,5411.43,3351.0,19.39,3-sigma,GCN 9544,0.02,0.055010033112582776,"6.699312894021083e-05 (+0.0, -inf)"
090621A,355303,Swift,UVOT,UVM2,2245.78,3466.0,21.39,3-sigma,GCN 9544,0.02,0.15546670144131777,"1.1646969266860927e-05 (+0.0, -inf)"
