GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
180418A,826428,La Silla,GROND,K,21550.42,67320.0,18.82,UL,GCN 22662,0.02,0.006232304672932403,"0.00010827275082166477 (+0.0, -inf)"
180418A,826428,Johnson,RATIR,r,6149.31,85608,23.63,0.22,GCN 22664,0.02,0.04592769828064338,1.3378189033322842e-06 ± 2.7107888402659333e-07
180418A,826428,Johnson,RATIR,i,7531.29,85608,23.14,0.16,GCN 22664,0.02,0.03356568392370572,2.0770766450139916e-06 ± 3.060893260681794e-07
180418A,826428,Gemini North,GMOS,r,6224.52,86400.0,23.86,0.13,2021ApJ...912...95R,0.02,0.04519195330739299,1.0816905366730786e-06 ± 1.2951559425876032e-07
180418A,826428,Gemini North,GMOS,i,7713.83,96768.0,23.85,0.08,2021ApJ...912...95R,0.02,0.032292833507853405,1.078806072312872e-06 ± 7.948936897085041e-08
180418A,826428,Gemini North,GMOS,z,9571.59,98496.0,23.37,0.29,2021ApJ...912...95R,0.02,0.022325695652173908,1.6632461512941445e-06 ± 4.442528320981555e-07
180418A,826428,Gemini North,GMOS,g,4647.53,101952.0,24.5,0.31,2021ApJ...912...95R,0.02,0.0672853987975952,6.122663740405936e-07 ± 1.7481463280011607e-07
180418A,826428,Gemini South,GMOS,r,6244.66,242784.0,24.95,0.13,2021ApJ...912...95R,0.02,0.044971313969571235,3.962915156832201e-07 ± 4.744973669759433e-08
180418A,826428,La Silla,GROND,g',4504.49,,24.5,0.2,GCN 22666,0.02,0.06958265605362379,6.135632106225855e-07 ± 1.1302252019113053e-07
180418A,826428,La Silla,GROND,r',6097.98,,24.0,0.1,GCN 22666,0.02,0.04666789794786468,9.521237711686577e-07 ± 8.769384008712902e-08
180418A,826428,La Silla,GROND,i',7604.74,,23.4,0.2,GCN 22666,0.02,0.03304532970027248,1.6339711371823492e-06 ± 3.009886066286885e-07
180418A,826428,La Silla,GROND,z',8929.33,,23.5,UL,GCN 22666,0.02,0.02522959810874704,"1.4795106242972056e-06 (+0.0, -inf)"
180418A,826428,La Silla,GROND,J,12246.51,,21.7,UL,GCN 22666,0.02,0.014756634928804253,"7.690045384335102e-06 (+0.0, -inf)"
