GRB,TriggerNumber,BAT T90[sec],XRT dt [sec],XRT InitialTemporalIndex,XRTSpectral Index(Gamma),UVOT dt [sec],UVOT Magnitude,Other UVOT Filters,Other Observatory Detections,Redshift,UVOT Vmag,UVOT Vmag lim
120521A,522578,0.45,73.75,-1.687,1.84175,77,"V>19,7","{'B': '21.9', 'U': '21.6', 'UVM2': '2.6', 'UVW1': '20.4', 'UVW2': '20.2', 'idx': 868}",,,197.0,brightest
120403A,519211,1.25,,,,,,{'idx': 874},,,,equal
120305A,516997,0.10,63.18,-2.371,3.1558,72,V>19.7,B>20.4U>21.2>UVW1>20.7UVM2>21.0UVW2>20.4White>21.1,,,19.7,brightest
120229A,516571,0.22,,,,,,{'idx': 887},,,,equal
111126A,Ground Analysis,0.8,,,,,,{'idx': 919},,,,equal
111117A,507901,0.47,,-1.294,2.1959299999999997,137,V>19.3,"{'B': '20.0', 'U': '20.7', 'UVM2': '19.5', 'UVW1': '20.4', 'UVW2': '21.5', 'idx': 922}","NOT, Fermi (GBM), Chandra, GMG",,19.3,brightest
111020A,505926,0.40,102.0,-0.764,2.19702,80,V>18.8,"{'B': '19.9', 'U': '20.3', 'UVM2': '21.1', 'UVW1': '21.0', 'UVW2': '20.5', 'idx': 931}","Chandra, XMM-Newton",,18.8,brightest
110420B,451794,0.084,2600,,,2562,V>19.9,"{'B': '20.4', 'U': '20.0', 'UVM2': '19.5', 'UVW1': '19.6', 'UVW2': '19.7', 'idx': 964}",Fermi (GBM),,19.9,brightest
110112A,442039,0.5,75.41,-0.9671,2.16553,80,V>19.6,"{'B': '20.3', 'U': '20.2', 'UVM2': '18.9', 'UVW1': '18.8', 'UVW2': '19.2', 'idx': 991}","TNT, WHT",,19.6,brightest
101224A,440955,0.2,77.63,,3.41005,83,V>20.2,"{'B': '21.4', 'U': '20.8', 'UVM2': '20.8', 'UVW1': '20.8', 'UVW2': '20.7', 'idx': 997}",Fermi (GBM),,20.2,brightest
