GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma, Lower Sigma,Beta_OX, Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-060313,1.6111111111111112,1.5,0.1111111111111111,-0.96,0.09,0.09,-0.46559195449570656,0.13313821497879297,0.14523692049778195
ID-060313,1.5833333333333333,1.7,0.11666666666666667,-0.96,0.09,0.09,-0.5224774988619809,0.10797030367835726,0.1208271286760361
ID-060313,1.6111111111111112,1.7,0.08888888888888889,-0.96,0.09,0.09,-0.6589296790783966,0.10694000773034193,0.11852643585459015
ID-060313,1.6666666666666667,1.7,0.03333333333333333,-0.96,0.09,0.09,-0.5477964593963939,0.10768784767129382,0.12019173860848517
ID-060313,1.6944444444444444,1.7,0.005555555555555556,-0.96,0.09,0.09,-0.6044358636005924,0.10546111758030571,0.11530380636637388
ID-060313,1.75,1.7,0.05,-0.96,0.09,0.09,-0.5777424337262624,0.10729159144139068,0.11930630181387368
ID-060313,1.8055555555555556,1.7,0.10555555555555556,-0.96,0.09,0.09,-0.5844473698923085,0.09905458337003689,0.10233251407492731
ID-060313,2.7777777777777777,2.9,0.12222222222222222,-0.96,0.09,0.09,-0.48352483102496063,0.18950595472168075,0.16492330034406663
ID-060313,2.7777777777777777,2.9,0.12222222222222222,-0.96,0.09,0.09,-0.45976064220329993,0.19002112749891878,0.16604426674454767
ID-060313,3.0555555555555554,2.9,0.15555555555555556,-0.96,0.09,0.09,-0.37739229987477013,0.1909568687256203,0.16810502479412626
ID-060313,3.0555555555555554,2.9,0.15555555555555556,-0.96,0.09,0.09,-0.4426609155877283,0.18855970903939182,0.16288894069353405
ID-060313,3.0555555555555554,2.9,0.15555555555555556,-0.96,0.09,0.09,-0.45534101783535386,0.18883259083537826,0.16347238634012712
ID-060313,3.0555555555555554,2.9,0.15555555555555556,-0.96,0.09,0.09,-0.49933471009198616,0.1899280080042456,0.16584094023908544
ID-060313,3.0555555555555554,3.1,0.044444444444444446,-0.96,0.09,0.09,-0.5485604880250242,0.10030023541258537,0.12212460283056538
ID-060313,3.0555555555555554,3.1,0.044444444444444446,-0.96,0.09,0.09,-0.6120540943095443,0.09796826756470142,0.11705037248858195
ID-060313,3.0555555555555554,3.1,0.044444444444444446,-0.96,0.09,0.09,-0.6243893554601551,0.09823372821722653,0.1176179510677894
ID-060313,3.0555555555555554,3.1,0.044444444444444446,-0.96,0.09,0.09,-0.667186619422816,0.09929935502235517,0.11992209107568398
ID-060313,3.3333333333333335,3.1,0.23333333333333334,-0.96,0.09,0.09,-0.6619181865729316,0.09788707937228099,0.11687728872027806
ID-060313,3.3333333333333335,3.1,0.23333333333333334,-0.96,0.09,0.09,-0.6567941126636795,0.09276300546302894,0.10640758441204529
ID-060313,3.0555555555555554,3.3,0.24444444444444444,-0.96,0.09,0.09,-0.42907387528996566,0.10649966816232283,0.12316700808504606
ID-060313,3.0555555555555554,3.3,0.24444444444444444,-0.96,0.09,0.09,-0.4893444251312685,0.10428607544600436,0.11835035534425942
ID-060313,3.0555555555555554,3.3,0.24444444444444444,-0.96,0.09,0.09,-0.501053524920811,0.10453806080996725,0.11888912255325504
ID-060313,3.0555555555555554,3.3,0.24444444444444444,-0.96,0.09,0.09,-0.5416783182137669,0.1055495943678964,0.12107630002376847
ID-060313,3.3333333333333335,3.3,0.03333333333333333,-0.96,0.09,0.09,-0.5366773210544367,0.10420900852093679,0.11818605763784887
ID-060313,3.3333333333333335,3.3,0.03333333333333333,-0.96,0.09,0.09,-0.5318133549008338,0.09934504236733387,0.10824781547051286
ID-060313,4.444444444444445,4.5,0.05555555555555555,-0.96,0.09,0.09,-0.7092834062650297,0.16273360822031083,0.14317497194360715
ID-060313,4.444444444444445,4.5,0.05555555555555555,-0.96,0.09,0.09,-0.6372235066775656,0.16474099980914703,0.14755295027693988
ID-060313,4.722222222222222,4.5,0.2222222222222222,-0.96,0.09,0.09,-0.6494009746769408,0.16363288229868198,0.1451159643198866
ID-060313,6.111111111111111,6.1,0.011111111111111112,-0.96,0.09,0.09,-0.6596029357104527,0.14712056057888812,0.15342485554260707
ID-060313,6.388888888888889,6.1,0.28888888888888886,-0.96,0.09,0.09,-0.5446716461212394,0.1449090056212761,0.14846798296382704
ID-060313,6.388888888888889,6.1,0.28888888888888886,-0.96,0.09,0.09,-0.6274875909639477,0.14301761109445418,0.14437127892879634
ID-060313,6.111111111111111,6.3,0.18888888888888888,-0.96,0.09,0.09,-0.6360817249556578,0.17506537016373241,0.16279478032603933
ID-060313,6.388888888888889,6.3,0.08888888888888889,-0.96,0.09,0.09,-0.5242760435996662,0.1729139594401966,0.15797271213167577
ID-060313,6.388888888888889,6.3,0.08888888888888889,-0.96,0.09,0.09,-0.6048397714876393,0.17107400224020225,0.15398741980973668
