Wavelength,Transmission
8800,2.356601954
8810,2.501807451
8820,2.676041126
8830,2.83309269
8840,2.973565578
8850,3.165213108
8860,3.366947889
8870,3.568438768
8880,3.705379486
8890,3.956649065
8900,4.152140617
8910,4.406466484
8920,4.612382412
8930,4.820803642
8940,5.10226059
8950,5.311654568
8960,5.655955315
8970,5.871400356
8980,6.199508667
8990,6.389476299
9000,6.630638123
