ID-090305,0.93,ESO/MPG,GROND,g,0,1.8,0.085
ID-090305,1.1,ESO/MPG,GROND,g,0,1.7,0.11
ID-090305,1.1,ESO/MPG,GROND,r,0,1.9,0.24
ID-090305,1.2,ESO/MPG,GROND,r,0,2,0.13
ID-090305,1.3,Gemini-S,GMOS,i,900,1.5,0.041
ID-090305,1.3,ESO/MPG,GROND,g,0,1.6,0.14
ID-090305,1.3,ESO/MPG,GROND,i,0,1.9,0.24
ID-090305,1.3,ESO/MPG,GROND,r,0,1.5,0.16
ID-090305,1.4,ESO/MPG,GROND,r,0,1.7,0.082
ID-090305,1.5,ESO/MPG,GROND,r,0,1.7,0.34
ID-090305,1.5,ESO/MPG,GROND,i,0,1.9,0.22
ID-090305,1.6,ESO/MPG,GROND,r,0,1.7,0.08
ID-090305,1.6,Gemini-S,GMOS,r,900,1.4,0.03
ID-090305,1.6,ESO/MPG,GROND,r,0,1.8,0.19
ID-090305,1.7,ESO/MPG,GROND,r,0,1.6,0.07
ID-090305,1.7,ESO/MPG,GROND,r,0,1.5,0.12
ID-090305,1.8,ESO/MPG,GROND,r,0,1.4,0.05
ID-090305,1.8,ESO/MPG,GROND,g,0,1,0.13
ID-090305,1.8,ESO/MPG,GROND,r,0,1.5,0.12
ID-090305,2,ESO/MPG,GROND,r,0,1.6,0.12
ID-090305,2.1,ESO/MPG,GROND,r,0,1.2,0.35
ID-090305,2.1,Gemini-S,GMOS,r,900,0.95,0.03
ID-090305,2.1,ESO/MPG,GROND,r,0,1.1,0.04
ID-090305,21.7,Gemini-S,GMOS,r,1500,0.19,0
ID-090426,0.29,TNT,--,R,60,101,7.8
ID-090426,0.31,TNT,--,R,60,95.1,10.1
ID-090426,0.33,TNT,--,R,60,89.2,9.5
ID-090426,0.36,TNT,--,R,60,77,8.2
ID-090426,0.38,TNT,--,R,60,74.9,8.8
ID-090426,0.4,TNT,--,R,60,69.6,8.1
ID-090426,0.42,TNT,--,R,60,73.5,8.6
ID-090426,0.53,TNT,--,V,600,49,5.7
ID-090426,0.71,TNT,--,V,600,36.5,4.3
ID-090426,0.88,TNT,--,V,600,34.5,4
ID-090426,1.1,TNT,--,V,600,36.2,4.2
ID-090426,1.2,TNT,--,V,600,32.4,3.8
ID-090426,1.4,TNT,--,V,600,31.8,4.4
ID-090426,1.6,TNT,--,V,600,28.7,4
ID-090426,2,TNT,--,V,600,24.6,3.9
ID-090426,2.3,TNT,--,V,600,20.1,3.4
ID-090426,2.6,TNT,--,V,600,20.8,3.5
ID-090426,3,TNT,--,V,600,19.7,3.6
ID-090426,7.3,TNT,--,I,0,15.8,2.8
ID-090426,7.5,TNT,--,R,0,13.5,1.7
ID-090426,7.5,TNT,--,R,0,13.4,1.8
ID-090426,7.7,TLS,--,R,0,11.8,2.3
ID-090426,7.8,TLS,--,R,0,12.7,1.7
ID-090426,12.9,ESO/MPG,GROND,g,3.10E+03,5.8,0.16
ID-090426,12.9,ESO/MPG,GROND,r,3.10E+03,7.6,0.21
ID-090426,12.9,ESO/MPG,GROND,i,3.10E+03,8.2,0.38
ID-090426,12.9,ESO/MPG,GROND,z,3.10E+03,9.8,0.65
ID-090426,12.9,ESO/MPG,GROND,J,3.10E+03,15.2,0.28
ID-090426,12.9,ESO/MPG,GROND,H,3.10E+03,15.7,3.2
ID-090426,12.9,ESO/MPG,GROND,K,3.10E+03,33.3,0
ID-090426,14.6,ESO/MPG,GROND,g,7.30E+03,4.7,0.09
ID-090426,14.6,ESO/MPG,GROND,r,7.30E+03,6,0.11
ID-090426,14.6,ESO/MPG,GROND,i,7.30E+03,7.3,0.2
ID-090426,14.6,ESO/MPG,GROND,z,7.30E+03,8.3,0.31
ID-090426,14.6,ESO/MPG,GROND,J,7.30E+03,10.2,0.89
ID-090426,14.6,ESO/MPG,GROND,H,7.30E+03,11.8,1.4
ID-090426,14.6,ESO/MPG,GROND,K,7.30E+03,21,0
ID-090426,16.3,LOAO,--,R,1.80E+03,6.6,0
ID-090510,6.2,ESO/MPG,GROND,r,0.00E+00,5.9,2.5
ID-090510,6.3,ESO/MPG,GROND,r,0.00E+00,5.5,2.3
ID-090510,6.3,ESO/MPG,GROND,r,0.00E+00,4.6,1.6
ID-090510,6.4,ESO/MPG,GROND,r,0.00E+00,2.6,1.8
ID-090510,6.4,ESO/MPG,GROND,r,0.00E+00,3,1.8
ID-090510,6.5,ESO/MPG,GROND,r,0.00E+00,2.6,1.6
